sku,title,handle,shopify_store,environment,format,price,system,function_name,ingredient_name_label,ingredient_descriptor,net_quantity,suggested_use,contraindications
GL-06_MA_MORINGA_PURE,MORINGA PURE (MAXima²),moringa-pure-maxima,maxima,MAXima²,BOTTLE,,GL,Micronutrient Density,MORINGA PURE,Moringa Leaf Extract,0.25 lb (113 g),,
GL-07_MA_DIGESTIVE_+_GUT_HEALTH_STRIPS,DIGESTIVE + GUT HEALTH STRIPS (MAXima²),digestive--gut-health-strips-maxima,maxima,MAXima²,BOTTLE,,GL,Gut Microbiome Balance,DIGESTIVE + GUT HEALTH STRIPS,Multi-Strain Probiotic,2 oz (60 g),,
GL-07_MA_PROBIOTIC_20_BILLION,PROBIOTIC 20 BILLION (MAXima²),probiotic-20-billion-maxima,maxima,MAXima²,BOTTLE,,GL,Gut Microbiome Balance,PROBIOTIC 20 BILLION,Multi-Strain Probiotic,30 capsules,,
GL-07_MA_PROBIOTIC_40_BILLION_WITH_PREBIOTICS,PROBIOTIC 40 BILLION WITH PREBIOTICS (MAXima²),probiotic-40-billion-with-prebiotics-maxima,maxima,MAXima²,BOTTLE,,GL,Gut Microbiome Balance,PROBIOTIC 40 BILLION WITH PREBIOTICS,Multi-Strain Probiotic,60 capsules,,
GL-07_MA_FERMENTED_MUSHROOM_BLEND,FERMENTED MUSHROOM BLEND (MAXima²),fermented-mushroom-blend-maxima,maxima,MAXima²,JAR,,GL,Gut Microbiome Balance,FERMENTED MUSHROOM BLEND,Multi-Strain Probiotic,0.46 lb (210 g),,
GL-08_MA_COLOSTRUM_CAPSULES,COLOSTRUM CAPSULES (MAXima²),colostrum-capsules-maxima,maxima,MAXima²,BOTTLE,,GL,Gut Barrier Integrity,COLOSTRUM CAPSULES,Bovine Colostrum,2 oz (57 g),,
GL-08_MA_COLOSTRUM_POWDER,COLOSTRUM POWDER (MAXima²),colostrum-powder-maxima,maxima,MAXima²,JAR,,GL,Gut Barrier Integrity,COLOSTRUM POWDER,Bovine Colostrum,2 oz (57 g),,
GL-08_MA_DIGESTIVE_+_GUT_HEALTH_STRIPS,DIGESTIVE + GUT HEALTH STRIPS (MAXima²),digestive--gut-health-strips-maxima,maxima,MAXima²,STRIPS,,GL,Gut Barrier Integrity,DIGESTIVE + GUT HEALTH STRIPS,Bovine Colostrum,2 oz (60 g),,
GL-09_MA_DIGESTIVE_ENZYME_PRO_BLEND,DIGESTIVE ENZYME PRO BLEND (MAXima²),digestive-enzyme-pro-blend-maxima,maxima,MAXima²,BOTTLE,,GL,Digestive Enzyme Activity,DIGESTIVE ENZYME PRO BLEND,Multi-Enzyme Complex,0.25 lb (133 g),,
GL-10_MA_DENTAL_+_ORAL_HEALTH_CHEWABLES,DENTAL + ORAL HEALTH CHEWABLES (MAXima²),dental--oral-health-chewables-maxima,maxima,MAXima²,BOTTLE,,GL,Oral Microbiome Balance,DENTAL + ORAL HEALTH CHEWABLES,Probiotic Chewables,1.3 oz (36 g),,
GL-11_MA_PROBIOTIC_+_METABOLISM_STRIPS,PROBIOTIC + METABOLISM STRIPS (MAXima²),probiotic--metabolism-strips-maxima,maxima,MAXima²,STRIPS,,GL,Gut-Metabolic Axis,PROBIOTIC + METABOLISM STRIPS,Probiotic + Metabolism Blend,2 oz (60 g),,
GL-12_MA_L-GLUTAMINE_POWDER,L-GLUTAMINE POWDER (MAXima²),l-glutamine-powder-maxima,maxima,MAXima²,POUCH,,GL,Gut Mucosal Integrity,L-GLUTAMINE POWDER,L-Glutamine,0.7 lb (317 g),,
GL-13_MA_HAIR_SKIN_&_NAILS_GUMMIES,HAIR SKIN & NAILS GUMMIES (MAXima²),hair-skin--nails-gummies-maxima,maxima,MAXima²,BOTTLE,,GL,Keratin Synthesis,HAIR SKIN & NAILS GUMMIES,Biotin + Hair Nutrient Blend,6.63 oz (188 g),,
GL-13_MA_HAIR_SKIN_AND_NAILS_ESSENTIALS,HAIR SKIN AND NAILS ESSENTIALS (MAXima²),hair-skin-and-nails-essentials-maxima,maxima,MAXima²,BOTTLE,,GL,Keratin Synthesis,HAIR SKIN AND NAILS ESSENTIALS,Biotin + Hair Nutrient Blend,60 capsules,,
GL-13_MA_HAIR_SKIN_&_NAILS_STRIPS,HAIR SKIN & NAILS STRIPS (MAXima²),hair-skin--nails-strips-maxima,maxima,MAXima²,STRIPS,,GL,Keratin Synthesis,HAIR SKIN & NAILS STRIPS,Biotin + Hair Nutrient Blend,2 oz (60 g),,
GL-14_MA_BONE_SUPPORT_STRIPS,BONE SUPPORT STRIPS (MAXima²),bone-support-strips-maxima,maxima,MAXima²,STRIPS,,GL,Bone Mineral Density,BONE SUPPORT STRIPS,Calcium + Vitamin D Strips,2 oz (60 g),,
GL-15_MA_HYDRATION_POWDER_(LEMONADE),HYDRATION POWDER (LEMONADE) (MAXima²),hydration-powder-lemonade-maxima,maxima,MAXima²,JAR,,GL,Electrolyte Balance,HYDRATION POWDER (LEMONADE),Magnesium Electrolyte,7.23 oz (205 g),,
GL-15_MA_HYDRATION_POWDER_(LYCHEE),HYDRATION POWDER (LYCHEE) (MAXima²),hydration-powder-lychee-maxima,maxima,MAXima²,JAR,,GL,Electrolyte Balance,HYDRATION POWDER (LYCHEE),Magnesium Electrolyte,7.23 oz (205 g),,
GL-15_MA_HYDRATION_POWDER_(MATCHA_GREEN_TEA),HYDRATION POWDER (MATCHA GREEN TEA) (MAXima²),hydration-powder-matcha-green-tea-maxima,maxima,MAXima²,JAR,,GL,Electrolyte Balance,HYDRATION POWDER (MATCHA GREEN TEA),Magnesium Electrolyte,7.23 oz (205 g),,
GL-15_MA_HYDRATION_POWDER_(PASSION_FRUIT),HYDRATION POWDER (PASSION FRUIT) (MAXima²),hydration-powder-passion-fruit-maxima,maxima,MAXima²,JAR,,GL,Electrolyte Balance,HYDRATION POWDER (PASSION FRUIT),Magnesium Electrolyte,7.23 oz (205 g),,
GL-15_MA_HYDRATION_POWDER_(PEACH_MANGO),HYDRATION POWDER (PEACH MANGO) (MAXima²),hydration-powder-peach-mango-maxima,maxima,MAXima²,JAR,,GL,Electrolyte Balance,HYDRATION POWDER (PEACH MANGO),Magnesium Electrolyte,7.23 oz (205 g),,
MT-01_MA_ALPHA_ENERGY,ALPHA ENERGY (MAXima²),alpha-energy-maxima,maxima,MAXima²,BOTTLE,,MT,Mitochondrial Energy,ALPHA ENERGY,Beta-Alanine + Caffeine,2.3 oz (65 g),,
MT-01_MA_ENERGY_POWDER_(COTTON_CANDY),ENERGY POWDER (COTTON CANDY) (MAXima²),energy-powder-cotton-candy-maxima,maxima,MAXima²,JAR,,MT,Mitochondrial Energy,ENERGY POWDER (COTTON CANDY),Beta-Alanine + Caffeine,6.42 oz (182 g),,
MT-01_MA_ENERGY_POWDER_(FRUIT_PUNCH),ENERGY POWDER (FRUIT PUNCH) (MAXima²),energy-powder-fruit-punch-maxima,maxima,MAXima²,JAR,,MT,Mitochondrial Energy,ENERGY POWDER (FRUIT PUNCH),Beta-Alanine + Caffeine,6.42 oz (182 g),,
MT-01_MA_ENERGY_POWDER_(GUAVA_BERRY),ENERGY POWDER (GUAVA BERRY) (MAXima²),energy-powder-guava-berry-maxima,maxima,MAXima²,JAR,,MT,Mitochondrial Energy,ENERGY POWDER (GUAVA BERRY),Beta-Alanine + Caffeine,5.82 oz (165 g),,
MT-01_MA_ENERGY_POWDER_(LYCHEE_SPLASH_ENERGY),ENERGY POWDER (LYCHEE SPLASH ENERGY) (MAXima²),energy-powder-lychee-splash-energy-maxima,maxima,MAXima²,JAR,,MT,Mitochondrial Energy,ENERGY POWDER (LYCHEE SPLASH ENERGY),Beta-Alanine + Caffeine,4.94 oz (140 g),,
MT-01_MA_ENERGY_POWDER_(STRAWBERRY_SHORTCAKE),ENERGY POWDER (STRAWBERRY SHORTCAKE) (MAXima²),energy-powder-strawberry-shortcake-maxima,maxima,MAXima²,JAR,,MT,Mitochondrial Energy,ENERGY POWDER (STRAWBERRY SHORTCAKE),Beta-Alanine + Caffeine,6.42 oz (182 g),,
MT-01_MA_ENERGY_POWDER_(YUZU_FLAVOR),ENERGY POWDER (YUZU FLAVOR) (MAXima²),energy-powder-yuzu-flavor-maxima,maxima,MAXima²,JAR,,MT,Mitochondrial Energy,ENERGY POWDER (YUZU FLAVOR),Beta-Alanine + Caffeine,4.23 oz (120 g),,
MT-01_MA_ENERGY_STRIPS,ENERGY STRIPS (MAXima²),energy-strips-maxima,maxima,MAXima²,STRIPS,,MT,Mitochondrial Energy,ENERGY STRIPS,Beta-Alanine + Caffeine,2 oz (60 g),,
MT-02_MA_FRUITS_AND_VEGGIES,FRUITS AND VEGGIES (MAXima²),fruits-and-veggies-maxima,maxima,MAXima²,BOTTLE,,MT,Cellular Antioxidant Status,FRUITS AND VEGGIES,Phytonutrient Complex,60 capsules,,
MT-02_MA_BEE_BREAD_POWDER,BEE BREAD POWDER (MAXima²),bee-bread-powder-maxima,maxima,MAXima²,JAR,,MT,Cellular Antioxidant Status,BEE BREAD POWDER,Phytonutrient Complex,0.3 lb (136 g),,
MT-02_MA_BEE_PEARL,BEE PEARL (MAXima²),bee-pearl-maxima,maxima,MAXima²,BOTTLE,,MT,Cellular Antioxidant Status,BEE PEARL,Phytonutrient Complex,0.11 lb (50 g),,
MT-03_MA_GREENS_SUPERFOOD,GREENS SUPERFOOD (MAXima²),greens-superfood-maxima,maxima,MAXima²,JAR,,MT,Cellular Redox Balance,GREENS SUPERFOOD,Alkaline Greens Superfood,0.4 lb (181.5 g),,
MT-04_MA_ULTRA_CLEANSE_SMOOTHIE_GREENS,ULTRA CLEANSE SMOOTHIE GREENS (MAXima²),ultra-cleanse-smoothie-greens-maxima,maxima,MAXima²,POUCH,,MT,Cellular Detox Support,ULTRA CLEANSE SMOOTHIE GREENS,Detox Greens Blend,0.67 lb (304 g),,
MT-04_MA_MAX_DETOX_(ACAI_DETOX),MAX DETOX (ACAI DETOX) (MAXima²),max-detox-acai-detox-maxima,maxima,MAXima²,BOTTLE,,MT,Cellular Detox Support,MAX DETOX (ACAI DETOX),Detox Greens Blend,60 capsules,,
MT-05_MA_REDS_SUPERFOOD,REDS SUPERFOOD (MAXima²),reds-superfood-maxima,maxima,MAXima²,JAR,,MT,Cellular Antioxidant Defense,REDS SUPERFOOD,Astaxanthin + Red Superfoods,0.39 lb (176 g),,
MT-06_MA_NAD+,NAD+ (MAXima²),nad-maxima,maxima,MAXima²,BOTTLE,,MT,Cellular NAD+ Synthesis,NAD+,NMN + Niacinamide,60 capsules,,
MT-07_MA_RESVERATROL_50%_600MG,RESVERATROL 50% 600MG (MAXima²),resveratrol-50%-600mg-maxima,maxima,MAXima²,BOTTLE,,MT,Sirtuin Activation,RESVERATROL 50% 600MG,Resveratrol 50% 600mg,60 capsules,,
MT-08_MA_MUSHROOM_EXTRACT_COMPLEX,MUSHROOM EXTRACT COMPLEX (MAXima²),mushroom-extract-complex-maxima,maxima,MAXima²,BOTTLE,,MT,Adaptogenic Cellular Support,MUSHROOM EXTRACT COMPLEX,10-Mushroom Adaptogen Complex,60 gummies,,
MT-09_MA_ADVANCED_100%_WHEY_PROTEIN_ISOLATE_(CHOCOLATE),ADVANCED 100% WHEY PROTEIN ISOLATE (CHOCOLATE) (MAXima²),advanced-100%-whey-protein-isolate-chocolate-maxima,maxima,MAXima²,POUCH,,MT,Muscle Protein Synthesis,ADVANCED 100% WHEY PROTEIN ISOLATE (CHOCOLATE),Whey Protein Isolate,29.60 oz (839 g),,
MT-09_MA_ADVANCED_100%_WHEY_PROTEIN_ISOLATE_(VANILLA),ADVANCED 100% WHEY PROTEIN ISOLATE (VANILLA) (MAXima²),advanced-100%-whey-protein-isolate-vanilla-maxima,maxima,MAXima²,POUCH,,MT,Muscle Protein Synthesis,ADVANCED 100% WHEY PROTEIN ISOLATE (VANILLA),Whey Protein Isolate,29.60 oz (839 g),,
MT-09_MA_PURE3_100%_WHEY_PROTEIN_ISOLATE_(CHOCOLATE),PURE3 100% WHEY PROTEIN ISOLATE (CHOCOLATE) (MAXima²),pure3-100%-whey-protein-isolate-chocolate-maxima,maxima,MAXima²,POUCH,,MT,Muscle Protein Synthesis,PURE3 100% WHEY PROTEIN ISOLATE (CHOCOLATE),Whey Protein Isolate,24.7 oz (700 g),,
MT-09_MA_PURE3_100%_WHEY_PROTEIN_ISOLATE_(VANILLA),PURE3 100% WHEY PROTEIN ISOLATE (VANILLA) (MAXima²),pure3-100%-whey-protein-isolate-vanilla-maxima,maxima,MAXima²,POUCH,,MT,Muscle Protein Synthesis,PURE3 100% WHEY PROTEIN ISOLATE (VANILLA),Whey Protein Isolate,24.1 oz (683 g),,
MT-10_MA_BCAA_POST_WORKOUT_POWDER_(HONEYDEW_WATERMELON),BCAA POST WORKOUT POWDER (HONEYDEW/WATERMELON) (MAXima²),bcaa-post-workout-powder-honeydew/watermelon-maxima,maxima,MAXima²,POUCH,,MT,Muscle Recovery,BCAA POST WORKOUT POWDER (HONEYDEW/WATERMELON),BCAAs,1 lb (454 g),,
MT-10_MA_BCAA_SHOCK_POWDER_(FRUIT_PUNCH),BCAA SHOCK POWDER (FRUIT PUNCH) (MAXima²),bcaa-shock-powder-fruit-punch-maxima,maxima,MAXima²,POUCH,,MT,Muscle Recovery,BCAA SHOCK POWDER (FRUIT PUNCH),BCAAs,1 lb (454 g),,
MT-11_MA_BEAUTY_+_COLLAGEN_STRIPS,BEAUTY + COLLAGEN STRIPS (MAXima²),beauty--collagen-strips-maxima,maxima,MAXima²,STRIPS,,MT,Dermal Collagen Synthesis,BEAUTY + COLLAGEN STRIPS,Grass-Fed Collagen Peptides,2 oz (60 g),,
MT-11_MA_GRASS-FED_COLLAGEN_CREAMER_(VANILLA),GRASS-FED COLLAGEN CREAMER (VANILLA) (MAXima²),grass-fed-collagen-creamer-vanilla-maxima,maxima,MAXima²,POUCH,,MT,Dermal Collagen Synthesis,GRASS-FED COLLAGEN CREAMER (VANILLA),Grass-Fed Collagen Peptides,0.66 lb (300 g),,
MT-11_MA_GRASS-FED_COLLAGEN_PEPTIDES_POWDER_(CHOCOLATE),GRASS-FED COLLAGEN PEPTIDES POWDER (CHOCOLATE) (MAXima²),grass-fed-collagen-peptides-powder-chocolate-maxima,maxima,MAXima²,POUCH,,MT,Dermal Collagen Synthesis,GRASS-FED COLLAGEN PEPTIDES POWDER (CHOCOLATE),Grass-Fed Collagen Peptides,0.98 lb (444 g),,
MT-11_MA_GRASS-FED_HYDROLYZED_COLLAGEN_PEPTIDES,GRASS-FED HYDROLYZED COLLAGEN PEPTIDES (MAXima²),grass-fed-hydrolyzed-collagen-peptides-maxima,maxima,MAXima²,POUCH,,MT,Dermal Collagen Synthesis,GRASS-FED HYDROLYZED COLLAGEN PEPTIDES,Grass-Fed Collagen Peptides,0.78 lb (354 g),,
MT-12_MA_BEE_PEARL,BEE PEARL (MAXima²),bee-pearl-maxima,maxima,MAXima²,BOTTLE,,MT,Cellular Vitality,BEE PEARL,Bee Pearl + Royal Jelly,0.11 lb (50 g),,
IN-01_MA_PLATINUM_TURMERIC,PLATINUM TURMERIC (MAXima²),platinum-turmeric-maxima,maxima,MAXima²,BOTTLE,,IN,Inflammatory Balance,PLATINUM TURMERIC,Curcumin 95% + Black Pepper,0.25 lb (113 g),,
IN-01_MA_AYURVEDIC_COMPLEX,AYURVEDIC COMPLEX (MAXima²),ayurvedic-complex-maxima,maxima,MAXima²,BOTTLE,,IN,Inflammatory Balance,AYURVEDIC COMPLEX,Curcumin 95% + Black Pepper,2.96 oz (84 g),,
IN-02_MA_VISION_SUPPORT,VISION SUPPORT (MAXima²),vision-support-maxima,maxima,MAXima²,BOTTLE,,IN,Retinal Protection,VISION SUPPORT,Lutein + Zeaxanthin,0.15 lb (70 g),,
IN-03_MA_HANGOVER_STRIPS,HANGOVER STRIPS (MAXima²),hangover-strips-maxima,maxima,MAXima²,STRIPS,,IN,Hepatic Glutathione Support,HANGOVER STRIPS,NAC + Antioxidant Strips,30 oral,,
IN-04_MA_RESPIRATORY_&_LUNG_HEALTH_DROPS,RESPIRATORY & LUNG HEALTH DROPS (MAXima²),respiratory--lung-health-drops-maxima,maxima,MAXima²,DROPPER,,IN,Respiratory Mucosal Defense,RESPIRATORY & LUNG HEALTH DROPS,NAC + Respiratory Blend,2.7 oz (75 g),,
IN-05_MA_LIVER_SUPPORT,LIVER SUPPORT (MAXima²),liver-support-maxima,maxima,MAXima²,BOTTLE,,IN,Hepatic Detoxification,LIVER SUPPORT,Milk Thistle + Liver Blend,0.2 lb (90.72 g),,
IN-06_MA_CHAGA_MUSHROOM,CHAGA MUSHROOM (MAXima²),chaga-mushroom-maxima,maxima,MAXima²,BOTTLE,,IN,Cellular Antioxidant Defense,CHAGA MUSHROOM,Chaga Mushroom Extract,0.2 lb (90 g),,
COG-01_MA_BRAIN_&_FOCUS_FORMULA,BRAIN & FOCUS FORMULA (MAXima²),brain--focus-formula-maxima,maxima,MAXima²,BOTTLE,,COG,Cognitive Clarity,BRAIN & FOCUS FORMULA,Bacopa + Nootropic Blend,60 caps,,
COG-01_MA_MUSHROOM_FOCUS_STRIPS,MUSHROOM FOCUS STRIPS (MAXima²),mushroom-focus-strips-maxima,maxima,MAXima²,STRIPS,,COG,Cognitive Clarity,MUSHROOM FOCUS STRIPS,Bacopa + Nootropic Blend,2 oz (60 g),,
COG-02_MA_FOCUS_POWDER_(SOUR_GRAPE),FOCUS POWDER (SOUR GRAPE) (MAXima²),focus-powder-sour-grape-maxima,maxima,MAXima²,JAR,,COG,Cognitive Focus,FOCUS POWDER (SOUR GRAPE),L-Tyrosine + Nootropic,6.6 oz (188 g),,
COG-02_MA_FOCUS_POWDER_(SOUR_GUMMI_WORM),FOCUS POWDER (SOUR GUMMI WORM) (MAXima²),focus-powder-sour-gummi-worm-maxima,maxima,MAXima²,JAR,,COG,Cognitive Focus,FOCUS POWDER (SOUR GUMMI WORM),L-Tyrosine + Nootropic,6.6 oz (188 g),,
COG-03_MA_COGNITIVE_RELAX_STRIPS,COGNITIVE RELAX STRIPS (MAXima²),cognitive-relax-strips-maxima,maxima,MAXima²,STRIPS,,COG,Neural Relaxation,COGNITIVE RELAX STRIPS,L-Theanine Strips,2 oz (60 g),,
COG-04_MA_MUSHROOM_EXTRACT_COMPLEX,MUSHROOM EXTRACT COMPLEX (MAXima²),mushroom-extract-complex-maxima,maxima,MAXima²,BOTTLE,,COG,Cognitive Neuroplasticity,MUSHROOM EXTRACT COMPLEX,10-Mushroom Nootropic Complex,60 gummies,,
COG-05_MA_LION'S_MANE_MUSHROOM,LION'S MANE MUSHROOM (MAXima²),lion's-mane-mushroom-maxima,maxima,MAXima²,BOTTLE,,COG,Neuroplasticity Support,LION'S MANE MUSHROOM,Lion's Mane Mushroom Extract,60 capsules,,
COG-06_MA_GINKGO_BILOBA_+_GINSENG,GINKGO BILOBA + GINSENG (MAXima²),ginkgo-biloba--ginseng-maxima,maxima,MAXima²,BOTTLE,,COG,Cerebrovascular Circulation,GINKGO BILOBA + GINSENG,Ginkgo Biloba + Panax Ginseng,0.25 lb (133 g),,
HR-02_MA_FEMALE_ENHANCEMENT,FEMALE ENHANCEMENT (MAXima²),female-enhancement-maxima,maxima,MAXima²,BOTTLE,,HR,Hormonal Vitality,FEMALE ENHANCEMENT,Maca + Female Hormonal Blend,2.54 oz (72 g),,
HR-02_MA_WOMEN'S_VITALITY_FORMULA,WOMEN'S VITALITY FORMULA (MAXima²),women's-vitality-formula-maxima,maxima,MAXima²,BOTTLE,,HR,Hormonal Vitality,WOMEN'S VITALITY FORMULA,Maca + Female Hormonal Blend,60 capsules,,
HR-04_MA_SEA_MOSS,SEA MOSS (MAXima²),sea-moss-maxima,maxima,MAXima²,BOTTLE,,HR,Thyroid Mineral Signaling,SEA MOSS,Irish Sea Moss + Iodine,60 caps,,
SL-01_MA_MAGNESIUM_GLYCINATE,MAGNESIUM GLYCINATE (MAXima²),magnesium-glycinate-maxima,maxima,MAXima²,BOTTLE,,SL,Sleep Initiation,MAGNESIUM GLYCINATE,Magnesium Glycinate,90 caps,,
SL-01_MA_SLEEP_STRIPS,SLEEP STRIPS (MAXima²),sleep-strips-maxima,maxima,MAXima²,STRIPS,,SL,Sleep Initiation,SLEEP STRIPS,Magnesium Glycinate,2 oz (60 g),,
SL-01_MA_SLEEP_PLUS_COLLAGEN_CREAM,SLEEP PLUS COLLAGEN CREAM (MAXima²),sleep-plus-collagen-cream-maxima,maxima,MAXima²,JAR,,SL,Sleep Initiation,SLEEP PLUS COLLAGEN CREAM,Magnesium Glycinate,0.12 lb (56 g),,
SL-02_MA_SLEEP_SUPPORT,SLEEP SUPPORT (MAXima²),sleep-support-maxima,maxima,MAXima²,BOTTLE,,SL,Deep Sleep Architecture,SLEEP SUPPORT,Melatonin + Sleep Complex,0.15 lb (68 g),,
